family,difficulty,condition,seed,success,survived,steps,unlocks,warns,wbcr,tq,n_warns,prcr
funnel_trap,medium,warning_only,1,0,0,3,0,0,1,0.0,0,1
funnel_trap,medium,warning_only,2,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,3,0,0,12,0,0,1,0.0,0,1
funnel_trap,medium,warning_only,4,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,5,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,6,0,0,5,0,0,1,0.0,0,1
funnel_trap,medium,warning_only,7,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,8,0,0,12,0,0,1,0.0,0,1
funnel_trap,medium,warning_only,9,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,10,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,11,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,12,0,0,6,0,0,1,0.0,0,1
funnel_trap,medium,warning_only,13,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,14,0,0,4,0,0,1,0.0,0,1
funnel_trap,medium,warning_only,15,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,16,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,17,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,18,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,warning_only,19,0,0,6,0,0,1,0.0,0,1
funnel_trap,medium,robot_belief_pre,0,0,0,12,0,2,1,0.3095,14,1
funnel_trap,medium,robot_belief_pre,1,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,2,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,3,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,4,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,5,0,0,13,0,2,1,0.2667,15,0
