family,ablation,seed,outcome,success,death,timeout,steps,unlocks,warns,repeat_unlocks,lever_match_rate,false_warn_outcome,bn_epistemic,bn_structural,bn_outcome
fork_trap,cf_only,7,death,0,1,0,8,0,1,0,1.0,0,8,0,0
fork_trap,cf_only,8,death,0,1,0,3,0,1,0,1.0,0,3,0,0
fork_trap,cf_only,9,success,1,0,0,11,0,1,0,1.0,0,11,0,0
fork_trap,cf_only,10,success,1,0,0,11,0,1,0,1.0,0,11,0,0
fork_trap,cf_only,11,success,1,0,0,11,0,1,0,1.0,0,11,0,0
fork_trap,cf_only,12,success,1,0,0,11,0,1,0,1.0,0,11,0,0
fork_trap,cf_only,13,death,0,1,0,4,0,1,0,1.0,0,4,0,0
fork_trap,cf_only,14,success,1,0,0,11,0,1,0,1.0,0,11,0,0
fork_trap,cf_only,15,success,1,0,0,11,0,1,0,1.0,0,11,0,0
fork_trap,cf_only,16,death,0,1,0,3,0,1,0,1.0,0,3,0,0
fork_trap,cf_only,17,success,1,0,0,11,0,1,0,1.0,0,11,0,0
fork_trap,cf_only,18,success,1,0,0,11,0,1,0,1.0,0,11,0,0
fork_trap,cf_only,19,success,1,0,0,11,0,1,0,1.0,0,11,0,0
hazard_belt,full_tpm,0,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,1,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,full_tpm,2,death,0,1,0,5,0,3,0,0.6,0,5,0,0
hazard_belt,full_tpm,3,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,4,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,5,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,6,death,0,1,0,3,0,2,0,0.667,0,3,0,0
hazard_belt,full_tpm,7,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,full_tpm,8,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,full_tpm,9,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,10,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,11,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,12,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,13,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,14,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,15,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,16,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,full_tpm,17,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,full_tpm,18,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,full_tpm,19,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_bottleneck_match,0,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,1,death,0,1,0,11,0,3,0,0.455,0,11,0,0
hazard_belt,no_bottleneck_match,2,death,0,1,0,5,0,2,0,0.4,0,5,0,0
hazard_belt,no_bottleneck_match,3,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,4,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,5,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,6,death,0,1,0,3,0,2,0,0.667,0,3,0,0
hazard_belt,no_bottleneck_match,7,death,0,1,0,11,0,3,0,0.455,0,11,0,0
hazard_belt,no_bottleneck_match,8,death,0,1,0,11,0,3,0,0.455,0,11,0,0
hazard_belt,no_bottleneck_match,9,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,10,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,11,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,12,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,13,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,14,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,15,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,16,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_bottleneck_match,17,death,0,1,0,11,0,3,0,0.455,0,11,0,0
hazard_belt,no_bottleneck_match,18,death,0,1,0,11,0,3,0,0.455,0,11,0,0
hazard_belt,no_bottleneck_match,19,success,1,0,0,25,0,3,0,0.208,0,25,0,0
hazard_belt,no_warn_damping,0,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_warn_damping,1,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_warn_damping,2,death,0,1,0,5,0,3,0,1.0,0,5,0,0
hazard_belt,no_warn_damping,3,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_warn_damping,4,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_warn_damping,5,death,0,1,0,4,0,3,0,1.0,0,4,0,0
hazard_belt,no_warn_damping,6,death,0,1,0,3,0,3,0,1.0,0,3,0,0
hazard_belt,no_warn_damping,7,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_warn_damping,8,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_warn_damping,9,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_warn_damping,10,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_warn_damping,11,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_warn_damping,12,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_warn_damping,13,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_warn_damping,14,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_warn_damping,15,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_warn_damping,16,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_warn_damping,17,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_warn_damping,18,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_warn_damping,19,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_unlock_memory,0,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,1,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,no_unlock_memory,2,death,0,1,0,5,0,3,0,0.6,0,5,0,0
hazard_belt,no_unlock_memory,3,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,4,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,5,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,6,death,0,1,0,3,0,2,0,0.667,0,3,0,0
hazard_belt,no_unlock_memory,7,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,no_unlock_memory,8,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,no_unlock_memory,9,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,10,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,11,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,12,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,13,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,14,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,15,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,16,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_unlock_memory,17,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,no_unlock_memory,18,death,0,1,0,11,0,3,0,0.727,0,11,0,0
hazard_belt,no_unlock_memory,19,success,1,0,0,25,0,3,0,0.708,0,25,0,0
hazard_belt,no_perceptual_access,0,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_perceptual_access,1,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_perceptual_access,2,death,0,1,0,5,0,3,0,1.0,0,5,0,0
hazard_belt,no_perceptual_access,3,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_perceptual_access,4,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_perceptual_access,5,death,0,1,0,4,0,3,0,1.0,0,4,0,0
hazard_belt,no_perceptual_access,6,death,0,1,0,3,0,3,0,1.0,0,3,0,0
hazard_belt,no_perceptual_access,7,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_perceptual_access,8,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_perceptual_access,9,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_perceptual_access,10,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_perceptual_access,11,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_perceptual_access,12,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_perceptual_access,13,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_perceptual_access,14,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_perceptual_access,15,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_perceptual_access,16,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,no_perceptual_access,17,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_perceptual_access,18,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,no_perceptual_access,19,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,0,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,cf_only,1,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,2,death,0,1,0,5,0,3,0,1.0,0,5,0,0
hazard_belt,cf_only,3,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,4,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,5,death,0,1,0,4,0,3,0,1.0,0,4,0,0
hazard_belt,cf_only,6,death,0,1,0,3,0,3,0,1.0,0,3,0,0
hazard_belt,cf_only,7,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,8,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,9,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,10,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,cf_only,11,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,cf_only,12,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,cf_only,13,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,cf_only,14,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,cf_only,15,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,cf_only,16,success,1,0,0,25,0,3,0,1.0,0,25,0,0
hazard_belt,cf_only,17,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,18,death,0,1,0,11,0,3,0,1.0,0,11,0,0
hazard_belt,cf_only,19,death,0,1,0,11,0,3,0,1.0,0,11,0,0
deadline_gate,full_tpm,0,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,1,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,2,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,3,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,4,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,5,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,6,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,7,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,8,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,9,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,10,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,11,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,12,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,13,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,14,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,15,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,16,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,17,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,18,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,full_tpm,19,success,1,0,0,26,1,3,0,0.84,0,25,1,0
deadline_gate,no_bottleneck_match,0,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,1,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,2,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,3,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,4,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,5,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,6,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,7,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,8,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,9,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,10,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,11,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,12,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,13,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,14,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,15,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,16,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,17,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,18,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_bottleneck_match,19,success,1,0,0,26,1,3,0,0.24,0,25,1,0
deadline_gate,no_warn_damping,0,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,1,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,2,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,3,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,4,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,5,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,6,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,7,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,8,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,9,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,10,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,11,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,12,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,13,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,14,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,15,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,16,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,17,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,18,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_warn_damping,19,success,1,0,0,26,1,3,0,1.0,0,25,1,0
deadline_gate,no_unlock_memory,0,success,1,0,0,26,1,3,0,0.769,0,25,1,0
deadline_gate,no_unlock_memory,1,success,1,0,0,26,1,3,0,0.769,0,25,1,0
deadline_gate,no_unlock_memory,2,success,1,0,0,26,1,3,0,0.769,0,25,1,0
deadline_gate,no_unlock_memory,3,success,1,0,0,26,1,3,0,0.769,0,25,1,0
deadline_gate,no_unlock_memory,4,success,1,0,0,26,1,3,0,0.769,0,25,1,0
deadline_gate,no_unlock_memory,5,success,1,0,0,26,1,3,0,0.769,0,25,1,0
deadline_gate,no_unlock_memory,6,success,1,0,0,26,1,3,0,0.769,0,25,1,0
deadline_gate,no_unlock_memory,7,success,1,0,0,26,1,3,0,0.769,0,25,1,0
deadline_gate,no_unlock_memory,8,success,1,0,0,26,1,3,0,0.769,0,25,1,0
