seed,family,variant,survived,reached_goal,steps,risky_entered,safe_branch_chosen,warn_count,unlock_count,necessary_warn,unnecessary_warn,necessary_segments,unnecessary_segments,delta_H,M_true_before,M_true_after,delta_nll_local
41,fork_trap,rsa_obs_s1,False,False,3,1,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
42,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
43,fork_trap,rsa_obs_s1,False,False,4,2,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
44,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
45,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
46,fork_trap,rsa_obs_s1,True,True,9,4,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
47,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
48,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
49,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
0,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
1,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
2,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
3,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
4,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
5,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
6,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
7,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
8,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
9,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
10,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
11,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
12,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
